"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 13:31:38 WAT 2023","Sat Dec 02 13:31:39 WAT 2023","327","Account","Process","","","","Return the informations for a process",""
"passed","Sat Dec 02 13:31:38 WAT 2023","Sat Dec 02 13:31:38 WAT 2023","321","Account","Process","","","","Return all the processes for your account",""
"passed","Sat Dec 02 13:31:41 WAT 2023","Sat Dec 02 13:31:42 WAT 2023","422","Account","Senders","","","","Get the list of all your senders",""
"passed","Sat Dec 02 13:31:40 WAT 2023","Sat Dec 02 13:31:40 WAT 2023","262","Account","Corporate","","","","Get sub-account details",""
"passed","Sat Dec 02 13:31:43 WAT 2023","Sat Dec 02 13:31:44 WAT 2023","471","Account","Senders","","","","Update a sender",""
"passed","Sat Dec 02 13:31:41 WAT 2023","Sat Dec 02 13:31:41 WAT 2023","595","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Sat Dec 02 13:31:44 WAT 2023","Sat Dec 02 13:31:44 WAT 2023","349","Account","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Sat Dec 02 13:30:50 WAT 2023","Sat Dec 02 13:30:51 WAT 2023","920","Sales CRM","Tasks","","","","Update a task",""
"passed","Sat Dec 02 13:30:53 WAT 2023","Sat Dec 02 13:30:54 WAT 2023","380","Sales CRM","Notes","","","","Delete a note",""
"passed","Sat Dec 02 13:30:40 WAT 2023","Sat Dec 02 13:30:40 WAT 2023","326","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Sat Dec 02 13:31:06 WAT 2023","Sat Dec 02 13:31:06 WAT 2023","335","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Sat Dec 02 13:31:22 WAT 2023","Sat Dec 02 13:31:22 WAT 2023","397","Transactional","Templates","","","","Send a template to your test list",""
"passed","Sat Dec 02 13:31:33 WAT 2023","Sat Dec 02 13:31:33 WAT 2023","291","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Sat Dec 02 13:31:14 WAT 2023","Sat Dec 02 13:31:14 WAT 2023","381","Contact management","Lists","","","","Get contacts in a list",""
"passed","Sat Dec 02 13:31:41 WAT 2023","Sat Dec 02 13:31:41 WAT 2023","293","Account","Corporate","","","","Update sub-account plan",""
"passed","Sat Dec 02 13:31:34 WAT 2023","Sat Dec 02 13:31:35 WAT 2023","257","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Sat Dec 02 13:31:28 WAT 2023","Sat Dec 02 13:31:29 WAT 2023","380","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Sat Dec 02 13:31:27 WAT 2023","Sat Dec 02 13:31:28 WAT 2023","521","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Sat Dec 02 13:31:16 WAT 2023","Sat Dec 02 13:31:16 WAT 2023","329","Contact management","Attributes","","","","List all attributes",""
"passed","Sat Dec 02 13:30:54 WAT 2023","Sat Dec 02 13:30:54 WAT 2023","341","Sales CRM","Files","","","","Get all files",""
"passed","Sat Dec 02 13:31:01 WAT 2023","Sat Dec 02 13:31:01 WAT 2023","277","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Sat Dec 02 13:30:37 WAT 2023","Sat Dec 02 13:30:37 WAT 2023","379","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Sat Dec 02 13:30:45 WAT 2023","Sat Dec 02 13:30:48 WAT 2023","2897","Sales CRM","Tasks","","","","Get all task types",""
"passed","Sat Dec 02 13:31:25 WAT 2023","Sat Dec 02 13:31:26 WAT 2023","271","Transactional","Logs","","","","Delete hardbounces",""
"passed","Sat Dec 02 13:30:49 WAT 2023","Sat Dec 02 13:30:50 WAT 2023","1106","Sales CRM","Tasks","","","","Delete a task",""
"passed","Sat Dec 02 13:31:15 WAT 2023","Sat Dec 02 13:31:15 WAT 2023","362","Contact management","Lists","","","","Get a list's details",""
"passed","Sat Dec 02 13:31:16 WAT 2023","Sat Dec 02 13:31:16 WAT 2023","263","Contact management","Lists","","","","Delete a list",""
"passed","Sat Dec 02 13:30:36 WAT 2023","Sat Dec 02 13:30:37 WAT 2023","524","Sales CRM","Companies","","","","Get company attributes",""
"passed","Sat Dec 02 13:31:03 WAT 2023","Sat Dec 02 13:31:04 WAT 2023","373","Conversations","Messages","","","","Send a message as an agent",""
"passed","Sat Dec 02 13:31:17 WAT 2023","Sat Dec 02 13:31:17 WAT 2023","238","Contact management","Attributes","","","","Create contact attribute",""
"passed","Sat Dec 02 13:31:27 WAT 2023","Sat Dec 02 13:31:27 WAT 2023","273","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
