iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies","OK","200","775","2039","Verrify that the Items contains an array , Response has 'items' property, Verify if 'status' is '200'",,,"3","3","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Bad Request","400","283","95",,"Successful POST request",,"1","0","1","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","OK","200","598","1719",,,,"0","0","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Bad Request","400","343","31",,,,"0","0","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","292","48",,,,"0","0","0","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","249","32",,,,"0","0","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","269","48",,,,"0","0","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","OK","200","471","542",,,,"0","0","0","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals","OK","200","470","21668","Status code is 200, Verify that user can  retrieve details of all existing deal",,,"2","2","0","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","OK","200","531","34","Status code is 200, Response time is less than 200ms, Successful POST request, Response contains an id ",,,"4","4","0","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/655fdfe2ab1b1e06aef6ca58","Bad Request","400","524","71",,,,"0","0","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","OK","200","1075","4629","internalName, Status code is 200, Verify that the Content-Type is present",,,"3","3","0","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/65606724e122b6bf37823fca","OK","200","468","430",,,,"0","0","0","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/65605fc1e122b6bf37823f9d","Not Found","404","390","32",,,,"0","0","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","263","46",,,,"0","0","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks","OK","200","1448","5111","Status code is 200, Response contains the expected structure, Response contains id of the first item, Verify that response contains a JSON content type",,,"4","4","0","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Not Found","404","829","42",,"Response contains lead ID",,"1","0","1","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","OK","200","908","485",,,,"0","0","0","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","734","53",,,,"0","0","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","1035","53",,,,"0","0","0","0"
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","841","53",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes","OK","200","489","7746","Verify that all the list of notes are displayed in the response body, Status code is 200, Content-Type is present",,,"3","3","0","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Created","201","315","560",,,,"0","0","0","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","245","102",,,,"0","0","0","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","239","100",,,,"0","0","0","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/656995f1c1ca2fffe52e374e","Bad Request","400","214","32",,,,"0","0","0","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files?entity=deals&entityIds=veniam elit in&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Bad Request","400","227","92",,,,"0","0","0","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Bad Request","400","243","31",,,,"0","0","0","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","494","81",,,,"0","0","0","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","212","212",,,,"0","0","0","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files/veniam elit in/data","Bad Request","400","235","152",,,,"0","0","0","0"
